三巫神任务线好像没必要速通。故速通只有神龛和传送门。

科凡高原(传送门), -3541.94, 3.82, 6608.18,
奥西尔神庙城(传送门), -3574.58, 21.85, 6230.18,
奥西尔神庙（神龛-!）, -2633.18, 0.96, 6085.74,
隐藏的避难所（神龛-磨损外壳）, -3708.07, 11.15, 6091.47,
隐藏的避难所（神龛往右罐子10级紫色戒指）, -3674.05, 11.39, 6066.03,

科凡沙漠（传送门）, -4181.75, 4.98, 5900.26,
凯伦码头（神龛！）, -4391.58, 13.42, 5557.99,
炎阳绿洲（传送门）, -4041.87, 3.78, 5517.72,
风沙废墟（神龛！）, -3228.34, 11.01, 5767.63,
霍兰神龛（神龛！）, -2912.35, 1.07, 5769.41,

三巫神先锋营（传送门）, -3525.62, 18.23, 4839.84,
阿贝德废墟（神龛-破裂磁石-淬火钢铁-灼热余烬）, -3440.02, 23.38, 4545.94,
阿贝德废墟（传送门）, -3592.60, 23.17, 4647.93,
炼狱荒地（传送门）, -3914.32, 47.22, 4684.03,
神选之谷（传送门）, -4310.08, 43.06, 4603.73,
内弗斯之墓（神龛！）, -3587.04, 3.62, 4033.52,
向阳尖塔（神龛）, -4584.72, 30.80, 4398.33,
邪阳之墓（传送门）, -4804.88, 49.62, 3944.40,
邪阳之墓（神龛）, -5416.00, 49.62, 3813.30,
邪术之门（传送门）, -5944.44, 12.01, 3837.54,

危险！异端之墓（神龛！）, -4142.39, -2.45, 3083.56,
