打完第四章就可以进精英和终极难度，可以做下隐秘之路拿属性点技能点。
本章继续速通开启巴村和马茅反抗军声望。

伯尔维治庄园（主线-摧毁屏障）, -805.33, 1.22, -1521.82,
幽暗森林（传送门）, -915.61, 6.96, -1787.10,
幽暗森林（神龛！）, -919.16, 4.99, -2181.07,
幽暗森林渡口（传送门）, -1198.72, 3.68, -2208.64,
卡拉克萨斯的巢穴（主-绝望的对策）, -1883.76, -2.54, -1957.73,
巫登沼泽（传送门）, -859.14, 1.17, -2610.71,
女巫团避难所（传送门）, -1082.32, 10.99, -3148.58,
女巫团避难所（主交-绝望的对策）, -812.15, 5.73, -2627.44,
阿格达尔之墓（神龛-灵质-复仇之魂）, -1887.79, 0.00, -2484.05,

巫登沼泽（传送门）, -1574.12, 6.98, -3362.61,
走几步进巴村, -1555.29, 7.65, -3422.86,
巴罗霍尔姆（主-女巫的契约-交谈斯科夫）, -1567.76, 10.68, -3568.15,
巴罗霍尔姆（支接-北部游客）, -1535.41, 9.13, -3604.11,
巫登沼泽（支-北部游客）, -1488.15, 11.97, -3825.23,
巫登沼泽（支-东北部游客）, -1221.45, -0.13, -3619.33,
巴罗霍尔姆（支交-北部游客）, -1535.41, 9.13, -3604.11,
主-对话后开箱子, -1573.51, 10.68, -3566.82,
女巫团避难所（主交-女巫的契约）, -815.77, 5.71, -2629.33,

远古树林（危险）（！神龛）, -252.49, -7.83, -3498.97,

莱托什祭坛（主-红门里不能传送）, -1786.05, 47.44, -3668.34,
孤望塔（先在冥煞找到艾格瑞姆交任务）, -2012.69, 58.14, -3753.50,
