支线以无换有，血和铁奖励废铁防止没有废铁交任务。

后面可以拿到的10级紫戒指，飞不飞看自己, -3674.05, 11.39, 6066.03,

殓葬山脉（传送门）, -64.60, 3.82, -279.53,
神龛，虚化水晶打掉, 1220.48, -0.50, -481.84,
殓葬洞穴（主-A）, 1239.50, 1.06, -416.08,
殓葬洞穴（主-B）, 1263.18, 0.92, -444.50,
恶魔十字（主交-波旁队长）, 83.33, 7.47, 45.02,
恶魔十字（主接-卡斯帕罗夫研究）, 97.53, 9.25, 31.06,

开荒没有虚化水晶才过去打, -154.26, 12.42, -348.17,

恶魔十字（支接-以无换有）, 82.48, 7.85, 53.37,

尸妖泥沼（传送门）, -154.72, 0.47, -645.68,
阴湿地窖（支-发明家的学徒）, 1639.55, 0.99, -997.59,

旧垃圾场（支-以无换有-法洛斯）, -60.51, 2.72, -426.48,
湿润山谷（支-以无换有-吉利叶斯）, -107.72, -0.12, -748.40,
湿润山谷（支-以无换有-尼根）, -158.46, 3.36, -859.14,

洞窟（势接-营救流浪者）, 1762.40, -7.44, 193.10,
恶魔十字（支交-发明家的学徒）, 98.92, 9.25, 29.85,
恶魔十字（支交-以无换有）, 82.76, 7.91, 54.79,

迷雾河畔（传送门）, -243.98, 0.59, -857.90,

伯尔维治郊外（支接-铁匠）, -468.91, 9.34, -906.71,
二选一优先老，各难度独立（支-铁匠）, -379.76, 23.08, -1127.10,
伯尔维治郊外（支交-铁匠）, -468.91, 9.34, -906.71,
恶魔十字（支交-铁匠）, 38.61, 9.00, 61.64,
腐坏田地（支-血与铁）, -718.56, 0.84, -964.93,
恶魔十字（支交-血与铁）, 82.76, 7.91, 54.79,

恶魔十字（主接-巴纳巴斯修水渠）, 98.24, 6.88, 76.46,
恶魔含水层（神龛+主-一滴水都没得喝）, 618.25, 5.32, -935.59,
恶魔十字（主交-巴纳巴斯修水渠）, 98.24, 6.88, 76.46,
恶魔十字（主-波旁）, 59.35, 10.50, 58.84,
伯尔维治郊外（传送门）, -496.40, 11.48, -905.43,
伯尔维治村（传送门）, -763.00, 1.09, -1201.98,
恶魔十字（主-波旁）, 59.35, 10.50, 58.84,

神圣丘陵（神龛EU-虚化碎片）, -641.01, 13.75, -1336.55,

伯尔维治庄园（神龛）, -939.83, 1.93, -1406.41,
典狱长的地下室（传送门）, 67.58, 0.88, -2181.72,
地下通道（传送门）, 939.96, -0.35, -2380.78,
地下通道（神龛-虚化碎片）, 941.59, -6.28, -2570.38,
隐秘实验室（传送门）, 965.44, -4.00, -2773.70,
地下监牢（主-典狱长门口）, 571.54, 1.45, -2685.03,
恶魔十字（主-波旁）, 59.35, 10.50, 58.84,


