松林荒地（传送门）, -1558.14, 11.99, 247.26,
霍姆斯特德(主交-艾格瑞姆), -2141.49, 27.48, 57.32,
霍姆斯特德（主交-索梅尔队长）, -2128.87, 20.32, 56.05,
腐坏田地（传送门）, -2184.39, 11.70, 538.06,
阴森的谷仓（虚化农场-虚灵混元体）, -2401.34, 12.00, 272.04,
霍姆斯特德（主交-虚化农场）, -2128.87, 20.32, 56.05,

悲伤城堡（传送点）, -2449.05, 7.97, -15.52,
血森林（传送点）, -2899.55, 18.30, -186.57,
血森林A（主-血之收割-农民）, -2784.10, 16.58, -74.47,
血森林B（主-血之收割-农民）, -2741.36, 17.00, -165.56,
血森林C（主-血之收割-农民）, -2700.19, 16.88, -130.33,
霍姆斯特德（主交-血之收割-索梅尔队长交任务）, -2128.31, 20.37, 56.62,
黑谷门（传送点）, -5315.95, -1.15, 730.39,

黑谷门BOSS（主-收获之时-卡若兹·冥神魔印）, -5973.17, 29.69, 628.86,
阿斯特堪之路（传送门）, -3816.15, 87.00, 185.92,
霍姆斯特德（收获之时-索梅尔队长交任务）, -2128.31, 20.37, 56.62,
霍姆斯特德（收获之时-克里德交任务）, -2141.19, 27.47, 56.49,
